,nationality,order,seasonal_order
0,Afghanistan,"(0, 1, 3)","(0, 1, 3, 4)"
1,Albania,"(0, 1, 3)","(2, 2, 3, 4)"
2,Algeria,"(0, 2, 3)","(0, 2, 3, 4)"
3,Andorra,"(0, 1, 3)","(0, 1, 3, 4)"
4,Angola,"(1, 2, 3)","(1, 2, 3, 4)"
5,Anguilla (British),"(0, 0, 0)","(1, 0, 0, 4)"
6,Antigua and Barbuda,"(0, 1, 3)","(0, 1, 3, 4)"
7,Argentina,"(1, 1, 3)","(2, 1, 3, 4)"
8,Armenia,"(0, 2, 3)","(1, 2, 3, 4)"
9,Australia,"(0, 2, 3)","(1, 2, 3, 4)"
10,Austria,"(0, 1, 3)","(0, 1, 3, 4)"
11,Azerbaijan,"(0, 2, 3)","(1, 2, 3, 4)"
12,"Bahamas, The","(1, 1, 3)","(2, 1, 3, 4)"
13,Bahrain,"(1, 1, 3)","(2, 1, 3, 4)"
14,Bangladesh,"(0, 1, 3)","(0, 1, 3, 4)"
15,Barbados,"(2, 1, 3)","(0, 1, 3, 4)"
16,Belarus,"(0, 1, 3)","(2, 1, 3, 4)"
17,Belgium,"(0, 1, 3)","(0, 1, 3, 4)"
18,Belize,"(2, 2, 3)","(2, 2, 3, 4)"
19,Benin,"(2, 1, 3)","(0, 1, 3, 4)"
20,Bermuda (British),"(2, 0, 2)","(3, 1, 3, 4)"
21,Bhutan,"(0, 1, 3)","(2, 1, 3, 4)"
22,Bolivia,"(0, 2, 3)","(1, 2, 3, 4)"
23,Bosnia and Herzegovina,"(1, 0, 3)","(0, 0, 3, 4)"
24,Botswana,"(0, 2, 3)","(2, 2, 3, 4)"
25,Brazil,"(3, 1, 3)","(0, 1, 3, 4)"
26,British overseas citizens,"(0, 1, 3)","(0, 1, 3, 4)"
27,Brunei,"(0, 1, 3)","(3, 1, 3, 4)"
28,Bulgaria,"(1, 0, 3)","(0, 0, 3, 4)"
29,Burkina,"(2, 1, 3)","(2, 1, 3, 4)"
30,Burma,"(2, 2, 3)","(2, 2, 3, 4)"
31,Burundi,"(3, 1, 3)","(2, 1, 3, 4)"
32,Cambodia,"(0, 0, 3)","(3, 0, 3, 4)"
33,Cameroon,"(0, 2, 3)","(1, 2, 3, 4)"
34,Canada,"(0, 0, 3)","(2, 0, 3, 4)"
35,Cape Verde,"(3, 0, 3)","(2, 2, 3, 4)"
36,Cayman Islands (British),"(0, 0, 3)","(3, 0, 3, 4)"
37,Central African Republic,"(1, 0, 3)","(0, 0, 3, 4)"
